amount,avg_user_amount,amount_deviation,tx_velocity,tx_history,new_beneficiary,device,location,is_anomaly
39.8,41.91,-2.11,4,25,0,trusted_device,different_city,0
111.35,118.59,-7.24,6,1526,0,trusted_device,same_city,0
83.51,76.79,6.71,5,1140,0,trusted_device,same_city,0
129.68,114.3,15.39,15,1436,0,new_device,same_city,0
669.18,81.2,587.98,20,1893,1,emulated_device,different_city,1
87.85,94.52,-6.68,7,1830,0,trusted_device,same_city,0
253.73,301.83,-48.1,2,1042,1,trusted_device,same_city,0
88.33,52.98,35.34,2,36,1,trusted_device,different_city,0
193.21,49.16,144.05,15,27,1,emulated_device,different_city,1
134.84,130.03,4.81,8,474,0,trusted_device,same_city,0
306.12,203.24,102.88,4,225,0,trusted_device,same_city,0
251.36,260.95,-9.59,2,665,0,trusted_device,same_city,0
81.26,91.08,-9.83,8,1610,0,trusted_device,same_city,0
51.55,52.44,-0.89,10,2159,0,trusted_device,same_city,0
310.31,56.28,254.03,38,45,1,emulated_device,different_city,1
98.97,112.16,-13.19,16,1028,0,trusted_device,same_city,0
303.63,265.84,37.79,3,992,0,trusted_device,same_city,0
36.0,52.15,-16.15,2,460,1,trusted_device,same_city,0
33.97,46.14,-12.17,0,58,0,new_device,same_city,0
63.73,125.67,-61.94,4,1055,0,trusted_device,different_city,0
81.39,68.32,13.07,16,1656,0,trusted_device,same_city,0
128.89,111.49,17.4,1,251,1,new_device,same_city,0
87.97,71.85,16.12,5,210,0,trusted_device,same_city,0
228.67,215.07,13.61,2,895,1,trusted_device,same_city,0
126.6,101.71,24.9,4,451,0,trusted_device,same_city,0
413.06,79.81,333.25,31,1630,1,new_device,different_city,1
385.7,409.82,-24.13,0,270,0,new_device,same_city,0
66.3,77.76,-11.46,1,1265,0,trusted_device,same_city,0
143.23,171.52,-28.28,1,391,0,trusted_device,same_city,0
76.36,62.71,13.65,15,2402,0,trusted_device,same_city,0
62.88,68.08,-5.21,2,783,0,trusted_device,same_city,0
60.04,59.71,0.33,0,273,0,trusted_device,same_city,0
604.25,462.49,141.76,3,404,0,trusted_device,same_city,0
94.7,96.89,-2.19,3,79,0,trusted_device,same_city,0
77.85,85.4,-7.55,13,2940,0,trusted_device,different_city,0
83.53,76.1,7.43,2,36,0,new_device,same_city,0
74.49,74.62,-0.13,1,359,0,trusted_device,same_city,0
95.39,126.27,-30.88,6,300,0,trusted_device,same_city,0
243.52,163.02,80.5,2,444,0,trusted_device,same_city,0
67.18,64.02,3.16,4,1178,0,trusted_device,same_city,0
72.44,70.03,2.41,7,1226,0,new_device,same_city,0
103.8,99.34,4.46,15,744,0,trusted_device,same_city,0
70.5,59.89,10.62,15,1399,0,trusted_device,same_city,0
48.05,39.47,8.58,14,2734,0,trusted_device,same_city,0
49.65,50.8,-1.15,1,377,0,trusted_device,different_city,0
87.3,80.36,6.94,0,311,1,trusted_device,same_city,0
2117.78,371.32,1746.46,50,780,1,emulated_device,different_city,1
20.2,19.48,0.72,2,76,0,trusted_device,different_city,0
176.72,101.98,74.74,6,911,1,new_device,same_city,0
103.79,151.03,-47.25,1,773,0,trusted_device,same_city,0
59.38,69.0,-9.62,13,2822,0,trusted_device,same_city,0
53.07,124.06,-70.99,4,108,0,new_device,same_city,0
45.95,52.14,-6.18,0,462,0,trusted_device,same_city,0
934.6,96.52,838.08,58,731,1,new_device,different_city,1
112.06,112.67,-0.61,17,1030,0,new_device,same_city,0
143.94,122.67,21.27,3,38,1,trusted_device,same_city,0
238.81,225.14,13.66,1,460,0,trusted_device,same_city,0
71.91,59.55,12.36,1,98,1,new_device,different_city,0
75.02,72.61,2.41,0,36,0,new_device,same_city,0
241.57,210.25,31.32,0,327,0,trusted_device,same_city,0
60.63,72.77,-12.14,2,1327,0,new_device,same_city,0
71.1,67.74,3.37,3,22,0,trusted_device,same_city,0
109.83,103.74,6.09,0,78,0,trusted_device,different_city,0
51.46,54.21,-2.75,11,949,0,trusted_device,same_city,0
323.33,295.25,28.08,0,942,0,trusted_device,same_city,0
129.92,180.58,-50.66,3,85,0,trusted_device,same_city,0
85.75,67.45,18.3,3,715,0,trusted_device,same_city,0
67.69,68.59,-0.9,11,2791,0,trusted_device,same_city,0
108.17,103.74,4.43,0,193,0,trusted_device,same_city,0
113.18,129.06,-15.88,0,359,0,trusted_device,same_city,0
73.45,58.21,15.24,0,14,0,new_device,different_city,0
127.98,117.9,10.08,4,80,1,new_device,same_city,0
76.86,68.91,7.94,4,19,1,trusted_device,same_city,0
652.42,95.25,557.17,40,187,1,emulated_device,different_city,1
79.2,83.04,-3.84,15,2120,0,trusted_device,different_city,0
95.43,82.9,12.53,13,892,0,trusted_device,same_city,0
163.21,169.6,-6.4,0,316,0,trusted_device,same_city,0
44.78,51.09,-6.3,1,73,1,trusted_device,same_city,0
50.69,49.6,1.08,11,1394,0,trusted_device,same_city,0
29.71,30.02,-0.31,6,39,0,new_device,same_city,0
2573.76,289.6,2284.16,19,720,1,emulated_device,different_city,1
86.27,73.78,12.49,13,803,0,trusted_device,same_city,0
267.4,42.43,224.97,35,2706,1,new_device,different_city,1
1220.71,202.36,1018.35,52,882,1,emulated_device,different_city,1
26.39,34.7,-8.31,3,1098,0,trusted_device,same_city,0
86.95,67.97,18.98,5,23,1,trusted_device,same_city,0
99.01,87.54,11.47,0,369,0,trusted_device,same_city,0
84.99,94.71,-9.71,3,11,0,trusted_device,same_city,0
254.11,261.52,-7.41,0,465,0,trusted_device,different_city,0
128.62,130.59,-1.97,1,667,0,trusted_device,same_city,0
67.69,43.77,23.93,1,19,1,trusted_device,same_city,0
45.02,43.52,1.5,0,894,1,trusted_device,same_city,0
108.63,125.18,-16.55,0,317,0,trusted_device,same_city,0
68.62,104.77,-36.16,0,315,0,trusted_device,same_city,0
456.97,376.92,80.04,1,886,0,trusted_device,same_city,0
108.47,104.08,4.39,1,82,0,trusted_device,same_city,0
16.3,35.06,-18.75,3,52,0,trusted_device,same_city,0
153.97,221.43,-67.46,0,500,0,trusted_device,same_city,0
140.79,131.14,9.64,8,100,0,trusted_device,same_city,0
